year,avg_temp,GlobalData_MovingAverage,NewYork_ MovingAverage_30yearsPeriod
1750,8.72,,
1751,7.98,,
1752,5.78,,
1753,8.39,,
1754,8.47,,
1755,8.36,,
1756,8.85,,
1757,9.02,,
1758,6.74,,
1759,7.99,,
1760,7.19,,
1761,8.77,,
1762,8.61,,
1763,7.5,,
1764,8.4,,
1765,8.25,,
1766,8.41,,
1767,8.22,,
1768,6.78,,
1769,7.69,,
1770,7.69,,
1771,7.85,,
1772,8.19,,8.4208
1773,8.22,,8.676
1774,8.77,,8.6128
1775,9.18,,8.9484
1776,8.3,,8.998076923
1777,8.26,,9.002962963
1778,8.54,,8.994642857
1779,8.98,8.107586207,8.922068966
1780,9.43,8.116551724,8.583448276
1781,8.1,8.166551724,8.504642857
1782,7.9,8.246551724,8.753928571
1783,7.68,8.229655172,8.740714286
1784,7.86,8.202413793,8.7025
1785,7.36,8.185172414,8.766428571
1786,8.26,8.133793103,8.714642857
1787,8.03,8.107586207,8.717857143
1788,8.45,8.152068966,8.747142857
1789,8.33,8.167931034,8.774285714
1790,7.98,8.207241379,8.834642857
1791,8.23,8.18,8.806428571
1792,8.09,8.166896552,8.8
1793,8.23,8.187241379,8.853214286
1794,8.53,8.18137931,8.865
1795,8.35,8.191034483,8.896071429
1796,8.27,8.188965517,8.864642857
1797,8.51,8.190689655,8.880714286
1798,8.67,8.250344828,8.887142857
1799,8.51,8.284137931,8.908928571
1800,8.48,8.312413793,8.914285714
1801,8.59,8.334137931,8.892857143
1802,8.58,8.347931034,8.905714286
1803,8.5,8.360344828,8.913214286
1804,8.84,8.351034483,8.932857143
1805,8.56,8.339310345,8.913214286
1806,8.43,8.348275862,8.959642857
1807,8.28,8.354137931,8.981428571
1808,7.63,8.345172414,9.062857143
1809,7.08,8.29862069,9.395714286
1810,6.92,8.217586207,9.377586207
1811,6.86,8.176896552,9.362413793
1812,7.05,8.141034483,9.372068966
1813,7.74,8.119310345,9.337241379
1814,7.59,8.115172414,9.355517241
1815,7.24,8.123103448,9.362758621
1816,6.94,8.087931034,9.338275862
1817,6.98,8.050344828,9.302068966
1818,7.83,7.999655172,9.233448276
1819,7.37,7.982413793,9.188965517
1820,7.62,7.96137931,9.177931034
1821,8.09,7.940344828,9.164482759
1822,8.19,7.940344828,9.157931034
1823,7.72,7.938965517,9.156551724
1824,8.55,7.911034483,9.115517241
1825,8.39,7.917931034,9.118275862
1826,8.36,7.922068966,9.161034483
1827,8.81,7.916896552,9.197931034
1828,8.17,7.921724138,9.182413793
1829,7.94,7.91,9.234482759
1830,8.52,7.89137931,9.220344828
1831,7.64,7.888965517,9.23137931
1832,7.45,7.856551724,9.189310345
1833,8.01,7.820344828,9.157586207
1834,8.15,7.791724138,9.138965517
1835,7.39,7.777586207,9.100689655
1836,7.7,7.741724138,9.069655172
1837,7.38,7.721724138,9.012413793
1838,7.51,7.713103448,8.962413793
1839,7.63,7.727931034,8.957586207
1840,7.8,7.752413793,8.95137931
1841,7.69,7.784827586,8.945862069
1842,8.02,7.806896552,8.987241379
1843,8.17,7.816551724,9.003793103
1844,7.65,7.836551724,8.996551724
1845,7.85,7.850689655,9.025862069
1846,8.55,7.882068966,9.08
1847,8.09,7.936206897,9.144827586
1848,7.98,7.945172414,9.185172414
1849,7.98,7.966206897,9.20137931
1850,7.9,7.97862069,9.196206897
1851,8.18,7.972068966,9.215862069
1852,8.1,7.971724138,9.195862069
1853,8.04,7.984827586,9.207586207
1854,8.21,7.967241379,9.221034483
1855,8.11,7.961034483,9.19862069
1856,8,7.952413793,9.170689655
1857,7.76,7.924482759,9.134137931
1858,8.1,7.910344828,9.058965517
1859,8.25,7.915862069,9.057586207
1860,7.96,7.906551724,9.017931034
1861,7.85,7.917586207,9.021724138
1862,7.56,7.93137931,9.032758621
1863,8.11,7.915862069,9.027586207
1864,7.98,7.914482759,9.019655172
1865,8.18,7.934827586,9.047586207
1866,8.29,7.95137931,9.121034483
1867,8.44,7.982758621,9.149655172
1868,8.25,8.014827586,9.144827586
1869,8.43,8.036206897,9.102758621
1870,8.2,8.057931034,9.088275862
1871,8.12,8.075517241,9.124137931
1872,8.19,8.078965517,9.107931034
1873,8.35,8.079655172,9.112068966
1874,8.43,8.103793103,9.08862069
1875,7.86,8.123793103,9.073793103
1876,8.08,8.1,9.007586207
1877,8.54,8.099655172,9.009310345
1878,8.83,8.118965517,9.030344828
1879,8.17,8.148275862,9.083793103
1880,8.12,8.157586207,9.093103448
1881,8.27,8.155517241,9.118275862
1882,8.13,8.16137931,9.145517241
1883,7.98,8.164482759,9.129655172
1884,7.77,8.156551724,9.096206897
1885,7.92,8.144827586,9.104827586
1886,7.95,8.142068966,9.110689655
1887,7.91,8.14862069,9.123793103
1888,8.09,8.142068966,9.122758621
1889,8.32,8.136551724,9.093103448
1890,7.97,8.148965517,9.116551724
1891,8.02,8.153103448,9.121724138
1892,8.07,8.168965517,9.156206897
1893,8.06,8.167586207,9.158275862
1894,8.16,8.170344828,9.137241379
1895,8.15,8.169655172,9.147931034
1896,8.21,8.164827586,9.157241379
1897,8.29,8.156896552,9.188965517
1898,8.18,8.158275862,9.246896552
1899,8.4,8.149655172,9.294827586
1900,8.5,8.156551724,9.276551724
1901,8.54,8.169655172,9.326896552
1902,8.3,8.181724138,9.350344828
1903,8.22,8.18,9.384482759
1904,8.09,8.172758621,9.393448276
1905,8.23,8.180689655,9.397931034
1906,8.38,8.185862069,9.389310345
1907,7.95,8.180344828,9.380689655
1908,8.19,8.15,9.315517241
1909,8.18,8.150689655,9.332758621
1910,8.22,8.152758621,9.316206897
1911,8.18,8.151034483,9.30862069
1912,8.17,8.152758621,9.332413793
1913,8.3,8.159310345,9.354827586
1914,8.59,8.177586207,9.403103448
1915,8.59,8.200689655,9.425517241
1916,8.23,8.222758621,9.458275862
1917,8.02,8.233793103,9.458275862
1918,8.13,8.23137931,9.455862069
1919,8.38,8.224827586,9.443793103
1920,8.36,8.238965517,9.45862069
1921,8.57,8.250689655,9.430689655
1922,8.41,8.267931034,9.49137931
1923,8.42,8.28,9.538275862
1924,8.51,8.288965517,9.523103448
1925,8.53,8.30137931,9.510344828
1926,8.73,8.312413793,9.517586207
1927,8.52,8.327586207,9.48
1928,8.63,8.339310345,9.46137931
1929,8.24,8.347241379,9.472068966
1930,8.63,8.338275862,9.457241379
1931,8.72,8.34137931,9.489310345
1932,8.71,8.355862069,9.544482759
1933,8.34,8.372758621,9.583103448
1934,8.63,8.38137931,9.662758621
1935,8.52,8.395172414,9.675862069
1936,8.55,8.4,9.66137931
1937,8.7,8.420689655,9.704137931
1938,8.86,8.438275862,9.714137931
1939,8.76,8.461724138,9.745517241
1940,8.76,8.480344828,9.763448276
1941,8.77,8.500344828,9.715862069
1942,8.73,8.521034483,9.74862069
1943,8.76,8.535862069,9.721034483
1944,8.85,8.541724138,9.740344828
1945,8.58,8.550689655,9.745862069
1946,8.68,8.562758621,9.774827586
1947,8.8,8.585517241,9.857241379
1948,8.75,8.60862069,9.871034483
1949,8.59,8.62137931,9.863448276
1950,8.37,8.629310345,9.939310345
1951,8.63,8.622413793,9.898275862
1952,8.64,8.63,9.906206897
1953,8.87,8.637586207,9.941034483
1954,8.56,8.65,10.02103448
1955,8.63,8.651034483,10.04137931
1956,8.28,8.647586207,10.10517241
1957,8.73,8.639310345,10.10689655
1958,8.77,8.642758621,10.13034483
1959,8.73,8.661034483,10.10241379
1960,8.58,8.664482759,10.12137931
1961,8.8,8.659655172,10.07758621
1962,8.75,8.662758621,10.06344828
1963,8.86,8.676896552,10.0337931
1964,8.41,8.684827586,10.02827586
1965,8.53,8.681034483,10.04482759
1966,8.6,8.680344828,10.04137931
1967,8.7,8.676896552,10.02724138
1968,8.52,8.67137931,9.98862069
1969,8.6,8.663103448,9.977586207
1970,8.7,8.657586207,10.02
1971,8.6,8.655172414,10.00551724
1972,8.5,8.650689655,10.00724138
1973,8.95,8.641724138,10.00413793
1974,8.47,8.645172414,10.03689655
1975,8.74,8.64137931,10.04172414
1976,8.35,8.643448276,10.03931034
1977,8.85,8.627931034,10.0262069
1978,8.69,8.63137931,10.03068966
1979,8.73,8.634827586,9.954137931
1980,8.98,8.647241379,9.964482759
1981,9.17,8.659310345,9.950344828
1982,8.64,8.677586207,9.930689655
1983,9.03,8.669655172,9.882758621
1984,8.69,8.685862069,9.889655172
1985,8.66,8.687931034,9.885172414
1986,8.83,8.701034483,9.902758621
1987,8.99,8.704482759,9.890689655
1988,9.2,8.712068966,9.930689655
1989,8.92,8.728275862,9.901724138
1990,9.23,8.74,9.898275862
1991,9.18,8.754827586,9.942758621
1992,8.84,8.769655172,10.01310345
1993,8.87,8.768965517,10.02172414
1994,9.04,8.784827586,10.02448276
1995,9.35,8.802413793,10.03724138
1996,9.04,8.828275862,10.05413793
1997,9.2,8.84,10.07172414
1998,9.52,8.863448276,10.08034483
1999,9.29,8.895172414,10.15137931
2000,9.2,8.915517241,10.19931034
2001,9.41,8.936206897,10.19793103
2002,9.57,8.967586207,10.24758621
2003,9.53,8.988965517,10.25758621
2004,9.32,9.025517241,10.24931034
2005,9.7,9.045517241,10.24344828
2006,9.53,9.092068966,10.28310345
2007,9.73,9.115517241,10.33689655
2008,9.43,9.15137931,10.38724138
2009,9.51,9.175517241,10.40862069
2010,9.7,9.193793103,10.41827586
2011,9.52,9.212068966,10.46689655
2012,9.51,9.242413793,10.51827586
2013,9.61,9.258965517,10.56862069
2014,9.57,9.290689655,10.63413793
2015,9.83,9.322068966,
