year,avg_temp,GlobalData_MovingAverage
1750,8.72,
1751,7.98,
1752,5.78,
1753,8.39,
1754,8.47,
1755,8.36,
1756,8.85,
1757,9.02,
1758,6.74,
1759,7.99,
1760,7.19,
1761,8.77,
1762,8.61,
1763,7.5,
1764,8.4,
1765,8.25,
1766,8.41,
1767,8.22,
1768,6.78,
1769,7.69,
1770,7.69,
1771,7.85,
1772,8.19,
1773,8.22,
1774,8.77,
1775,9.18,
1776,8.3,
1777,8.26,
1778,8.54,
1779,8.98,8.107586207
1780,9.43,8.116551724
1781,8.1,8.166551724
1782,7.9,8.246551724
1783,7.68,8.229655172
1784,7.86,8.202413793
1785,7.36,8.185172414
1786,8.26,8.133793103
1787,8.03,8.107586207
1788,8.45,8.152068966
1789,8.33,8.167931034
1790,7.98,8.207241379
1791,8.23,8.18
1792,8.09,8.166896552
1793,8.23,8.187241379
1794,8.53,8.18137931
1795,8.35,8.191034483
1796,8.27,8.188965517
1797,8.51,8.190689655
1798,8.67,8.250344828
1799,8.51,8.284137931
1800,8.48,8.312413793
1801,8.59,8.334137931
1802,8.58,8.347931034
1803,8.5,8.360344828
1804,8.84,8.351034483
1805,8.56,8.339310345
1806,8.43,8.348275862
1807,8.28,8.354137931
1808,7.63,8.345172414
1809,7.08,8.29862069
1810,6.92,8.217586207
1811,6.86,8.176896552
1812,7.05,8.141034483
1813,7.74,8.119310345
1814,7.59,8.115172414
1815,7.24,8.123103448
1816,6.94,8.087931034
1817,6.98,8.050344828
1818,7.83,7.999655172
1819,7.37,7.982413793
1820,7.62,7.96137931
1821,8.09,7.940344828
1822,8.19,7.940344828
1823,7.72,7.938965517
1824,8.55,7.911034483
1825,8.39,7.917931034
1826,8.36,7.922068966
1827,8.81,7.916896552
1828,8.17,7.921724138
1829,7.94,7.91
1830,8.52,7.89137931
1831,7.64,7.888965517
1832,7.45,7.856551724
1833,8.01,7.820344828
1834,8.15,7.791724138
1835,7.39,7.777586207
1836,7.7,7.741724138
1837,7.38,7.721724138
1838,7.51,7.713103448
1839,7.63,7.727931034
1840,7.8,7.752413793
1841,7.69,7.784827586
1842,8.02,7.806896552
1843,8.17,7.816551724
1844,7.65,7.836551724
1845,7.85,7.850689655
1846,8.55,7.882068966
1847,8.09,7.936206897
1848,7.98,7.945172414
1849,7.98,7.966206897
1850,7.9,7.97862069
1851,8.18,7.972068966
1852,8.1,7.971724138
1853,8.04,7.984827586
1854,8.21,7.967241379
1855,8.11,7.961034483
1856,8,7.952413793
1857,7.76,7.924482759
1858,8.1,7.910344828
1859,8.25,7.915862069
1860,7.96,7.906551724
1861,7.85,7.917586207
1862,7.56,7.93137931
1863,8.11,7.915862069
1864,7.98,7.914482759
1865,8.18,7.934827586
1866,8.29,7.95137931
1867,8.44,7.982758621
1868,8.25,8.014827586
1869,8.43,8.036206897
1870,8.2,8.057931034
1871,8.12,8.075517241
1872,8.19,8.078965517
1873,8.35,8.079655172
1874,8.43,8.103793103
1875,7.86,8.123793103
1876,8.08,8.1
1877,8.54,8.099655172
1878,8.83,8.118965517
1879,8.17,8.148275862
1880,8.12,8.157586207
1881,8.27,8.155517241
1882,8.13,8.16137931
1883,7.98,8.164482759
1884,7.77,8.156551724
1885,7.92,8.144827586
1886,7.95,8.142068966
1887,7.91,8.14862069
1888,8.09,8.142068966
1889,8.32,8.136551724
1890,7.97,8.148965517
1891,8.02,8.153103448
1892,8.07,8.168965517
1893,8.06,8.167586207
1894,8.16,8.170344828
1895,8.15,8.169655172
1896,8.21,8.164827586
1897,8.29,8.156896552
1898,8.18,8.158275862
1899,8.4,8.149655172
1900,8.5,8.156551724
1901,8.54,8.169655172
1902,8.3,8.181724138
1903,8.22,8.18
1904,8.09,8.172758621
1905,8.23,8.180689655
1906,8.38,8.185862069
1907,7.95,8.180344828
1908,8.19,8.15
1909,8.18,8.150689655
1910,8.22,8.152758621
1911,8.18,8.151034483
1912,8.17,8.152758621
1913,8.3,8.159310345
1914,8.59,8.177586207
1915,8.59,8.200689655
1916,8.23,8.222758621
1917,8.02,8.233793103
1918,8.13,8.23137931
1919,8.38,8.224827586
1920,8.36,8.238965517
1921,8.57,8.250689655
1922,8.41,8.267931034
1923,8.42,8.28
1924,8.51,8.288965517
1925,8.53,8.30137931
1926,8.73,8.312413793
1927,8.52,8.327586207
1928,8.63,8.339310345
1929,8.24,8.347241379
1930,8.63,8.338275862
1931,8.72,8.34137931
1932,8.71,8.355862069
1933,8.34,8.372758621
1934,8.63,8.38137931
1935,8.52,8.395172414
1936,8.55,8.4
1937,8.7,8.420689655
1938,8.86,8.438275862
1939,8.76,8.461724138
1940,8.76,8.480344828
1941,8.77,8.500344828
1942,8.73,8.521034483
1943,8.76,8.535862069
1944,8.85,8.541724138
1945,8.58,8.550689655
1946,8.68,8.562758621
1947,8.8,8.585517241
1948,8.75,8.60862069
1949,8.59,8.62137931
1950,8.37,8.629310345
1951,8.63,8.622413793
1952,8.64,8.63
1953,8.87,8.637586207
1954,8.56,8.65
1955,8.63,8.651034483
1956,8.28,8.647586207
1957,8.73,8.639310345
1958,8.77,8.642758621
1959,8.73,8.661034483
1960,8.58,8.664482759
1961,8.8,8.659655172
1962,8.75,8.662758621
1963,8.86,8.676896552
1964,8.41,8.684827586
1965,8.53,8.681034483
1966,8.6,8.680344828
1967,8.7,8.676896552
1968,8.52,8.67137931
1969,8.6,8.663103448
1970,8.7,8.657586207
1971,8.6,8.655172414
1972,8.5,8.650689655
1973,8.95,8.641724138
1974,8.47,8.645172414
1975,8.74,8.64137931
1976,8.35,8.643448276
1977,8.85,8.627931034
1978,8.69,8.63137931
1979,8.73,8.634827586
1980,8.98,8.647241379
1981,9.17,8.659310345
1982,8.64,8.677586207
1983,9.03,8.669655172
1984,8.69,8.685862069
1985,8.66,8.687931034
1986,8.83,8.701034483
1987,8.99,8.704482759
1988,9.2,8.712068966
1989,8.92,8.728275862
1990,9.23,8.74
1991,9.18,8.754827586
1992,8.84,8.769655172
1993,8.87,8.768965517
1994,9.04,8.784827586
1995,9.35,8.802413793
1996,9.04,8.828275862
1997,9.2,8.84
1998,9.52,8.863448276
1999,9.29,8.895172414
2000,9.2,8.915517241
2001,9.41,8.936206897
2002,9.57,8.967586207
2003,9.53,8.988965517
2004,9.32,9.025517241
2005,9.7,9.045517241
2006,9.53,9.092068966
2007,9.73,9.115517241
2008,9.43,9.15137931
2009,9.51,9.175517241
2010,9.7,9.193793103
2011,9.52,9.212068966
2012,9.51,9.242413793
2013,9.61,9.258965517
2014,9.57,9.290689655
2015,9.83,9.322068966
